fill	x	y	key	showSelectedlegendcolourfill	clickSelects.variable	clickSelects.value
#0000FF	0.894903682028773	1	xgboost 1 89	xgboost	xgboost	89
#0000FF	0.904901243599122	1	xgboost 1 90	xgboost	xgboost	90
#0000FF	0.914776883686906	1	xgboost 1 91	xgboost	xgboost	91
#0000FF	0.92489636673982	1	xgboost 1 92	xgboost	xgboost	92
#0000FF	0.934893928310168	1	xgboost 1 93	xgboost	xgboost	93
#0000FF	0.944891489880517	1	xgboost 1 94	xgboost	xgboost	94
#0000FF	0.954889051450866	1	xgboost 1 95	xgboost	xgboost	95
#0000FF	0.964642770056084	1	xgboost 1 96	xgboost	xgboost	96
#0000FF	0.974884174591563	1	xgboost 1 97	xgboost	xgboost	97
#0000FF	0.984881736161912	1	xgboost 1 98	xgboost	xgboost	98
#0000FF	0.99487929773226	1	xgboost 1 99	xgboost	xgboost	99
#0000FF	1	1	xgboost 1 100	xgboost	xgboost	100
#FF0000	0	0	glmnet 2 0	glmnet	glmnet	0
#FF0000	0.0149689667761957	0.130769230769231	glmnet 2 1	glmnet	glmnet	1
#FF0000	0.0249482779603262	0.191758241758242	glmnet 2 2	glmnet	glmnet	2
#FF0000	0.0349275891444566	0.251098901098901	glmnet 2 3	glmnet	glmnet	3
#FF0000	0.0449069003285871	0.302747252747253	glmnet 2 4	glmnet	glmnet	4
#FF0000	0.0548862115127175	0.340659340659341	glmnet 2 5	glmnet	glmnet	5
#FF0000	0.0649872216137276	0.376373626373626	glmnet 2 6	glmnet	glmnet	6
#FF0000	0.0749665327978581	0.41978021978022	glmnet 2 7	glmnet	glmnet	7
#FF0000	0.0849458439819886	0.456043956043956	glmnet 2 8	glmnet	glmnet	8
#FF0000	0.094925155166119	0.481318681318681	glmnet 2 9	glmnet	glmnet	9
#FF0000	0.104904466350249	0.504395604395604	glmnet 2 10	glmnet	glmnet	10
#FF0000	0.11488377753438	0.52967032967033	glmnet 2 11	glmnet	glmnet	11
#FF0000	0.12498478763539	0.554395604395604	glmnet 2 12	glmnet	glmnet	12
#FF0000	0.134964098819521	0.583516483516483	glmnet 2 13	glmnet	glmnet	13
#FF0000	0.144943410003651	0.610439560439561	glmnet 2 14	glmnet	glmnet	14
#FF0000	0.154922721187781	0.629120879120879	glmnet 2 15	glmnet	glmnet	15
#FF0000	0.164902032371912	0.653296703296703	glmnet 2 16	glmnet	glmnet	16
#FF0000	0.174881343556042	0.675824175824176	glmnet 2 17	glmnet	glmnet	17
#FF0000	0.184982353657052	0.691758241758242	glmnet 2 18	glmnet	glmnet	18
#FF0000	0.194961664841183	0.707692307692308	glmnet 2 19	glmnet	glmnet	19
#FF0000	0.204940976025313	0.721978021978022	glmnet 2 20	glmnet	glmnet	20
#FF0000	0.214920287209444	0.741758241758242	glmnet 2 21	glmnet	glmnet	21
#FF0000	0.224899598393574	0.767032967032967	glmnet 2 22	glmnet	glmnet	22
#FF0000	0.234878909577705	0.782417582417582	glmnet 2 23	glmnet	glmnet	23
#FF0000	0.244979919678715	0.797252747252747	glmnet 2 24	glmnet	glmnet	24
#FF0000	0.254959230862845	0.81043956043956	glmnet 2 25	glmnet	glmnet	25
#FF0000	0.264938542046976	0.824725274725275	glmnet 2 26	glmnet	glmnet	26
#FF0000	0.274917853231106	0.841208791208791	glmnet 2 27	glmnet	glmnet	27
#FF0000	0.284897164415237	0.854395604395604	glmnet 2 28	glmnet	glmnet	28
#FF0000	0.294998174516247	0.868681318681319	glmnet 2 29	glmnet	glmnet	29
#FF0000	0.304977485700377	0.881868131868132	glmnet 2 30	glmnet	glmnet	30
#FF0000	0.314956796884508	0.893406593406593	glmnet 2 31	glmnet	glmnet	31
#FF0000	0.324936108068638	0.901648351648352	glmnet 2 32	glmnet	glmnet	32
#FF0000	0.334915419252769	0.908241758241758	glmnet 2 33	glmnet	glmnet	33
#FF0000	0.344894730436899	0.919230769230769	glmnet 2 34	glmnet	glmnet	34
#FF0000	0.354995740537909	0.926373626373626	glmnet 2 35	glmnet	glmnet	35
#FF0000	0.36497505172204	0.931868131868132	glmnet 2 36	glmnet	glmnet	36
#FF0000	0.37495436290617	0.942307692307692	glmnet 2 37	glmnet	glmnet	37
#FF0000	0.384933674090301	0.947252747252747	glmnet 2 38	glmnet	glmnet	38
#FF0000	0.394912985274431	0.958241758241758	glmnet 2 39	glmnet	glmnet	39
#FF0000	0.404892296458562	0.962637362637363	glmnet 2 40	glmnet	glmnet	40
#FF0000	0.414993306559572	0.965934065934066	glmnet 2 41	glmnet	glmnet	41
#FF0000	0.424972617743702	0.970879120879121	glmnet 2 42	glmnet	glmnet	42
#FF0000	0.434951928927833	0.975274725274725	glmnet 2 43	glmnet	glmnet	43
#FF0000	0.444931240111963	0.978021978021978	glmnet 2 44	glmnet	glmnet	44
#FF0000	0.454910551296094	0.98021978021978	glmnet 2 45	glmnet	glmnet	45
#FF0000	0.464889862480224	0.982417582417582	glmnet 2 46	glmnet	glmnet	46
#FF0000	0.474990872581234	0.985714285714286	glmnet 2 47	glmnet	glmnet	47
#FF0000	0.484970183765365	0.987912087912088	glmnet 2 48	glmnet	glmnet	48
#FF0000	0.494949494949495	0.990659340659341	glmnet 2 49	glmnet	glmnet	49
#FF0000	0.504928806133625	0.991758241758242	glmnet 2 50	glmnet	glmnet	50
#FF0000	0.514908117317756	0.992857142857143	glmnet 2 51	glmnet	glmnet	51
#FF0000	0.524887428501886	0.993406593406593	glmnet 2 52	glmnet	glmnet	52
#FF0000	0.534988438602897	0.993406593406593	glmnet 2 53	glmnet	glmnet	53
#FF0000	0.544967749787027	0.993406593406593	glmnet 2 54	glmnet	glmnet	54
#FF0000	0.554947060971157	0.995604395604396	glmnet 2 55	glmnet	glmnet	55
#FF0000	0.564926372155288	0.996153846153846	glmnet 2 56	glmnet	glmnet	56
#FF0000	0.574905683339418	0.996153846153846	glmnet 2 57	glmnet	glmnet	57
#FF0000	0.584884994523549	0.996153846153846	glmnet 2 58	glmnet	glmnet	58
#FF0000	0.594986004624559	0.996703296703297	glmnet 2 59	glmnet	glmnet	59
#FF0000	0.604965315808689	0.997252747252747	glmnet 2 60	glmnet	glmnet	60
