linetype	fill	colour	xmin	xmax	ymin	ymax	key	showSelectedlegendlinetype	showSelectedlegendfill	showSelected.variable	showSelected.value	showSelected2	PANEL
1	#4D4D4D	#0000FF	0.5	1.5	0	1	xgboost 1 positive	error	positive	xgboost	69	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	4337	10037	xgboost 1 negative	error	negative	xgboost	69	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	0	xgboost 1 positive	error	positive	xgboost	70	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	4255	10037	xgboost 1 negative	error	negative	xgboost	70	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	0	xgboost 1 positive	error	positive	xgboost	71	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	4173	10037	xgboost 1 negative	error	negative	xgboost	71	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	0	xgboost 1 positive	error	positive	xgboost	72	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	4091	10037	xgboost 1 negative	error	negative	xgboost	72	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	0	xgboost 1 positive	error	positive	xgboost	73	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	4009	10037	xgboost 1 negative	error	negative	xgboost	73	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	0	xgboost 1 positive	error	positive	xgboost	74	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	3927	10037	xgboost 1 negative	error	negative	xgboost	74	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	0	xgboost 1 positive	error	positive	xgboost	75	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	3845	10037	xgboost 1 negative	error	negative	xgboost	75	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	0	xgboost 1 positive	error	positive	xgboost	76	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	3763	10037	xgboost 1 negative	error	negative	xgboost	76	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	0	xgboost 1 positive	error	positive	xgboost	77	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	3681	10037	xgboost 1 negative	error	negative	xgboost	77	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	0	xgboost 1 positive	error	positive	xgboost	78	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	3599	10037	xgboost 1 negative	error	negative	xgboost	78	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	0	xgboost 1 positive	error	positive	xgboost	79	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	3517	10037	xgboost 1 negative	error	negative	xgboost	79	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	0	xgboost 1 positive	error	positive	xgboost	80	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	3435	10037	xgboost 1 negative	error	negative	xgboost	80	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	0	xgboost 1 positive	error	positive	xgboost	81	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	3353	10037	xgboost 1 negative	error	negative	xgboost	81	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	0	xgboost 1 positive	error	positive	xgboost	82	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	3271	10037	xgboost 1 negative	error	negative	xgboost	82	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	0	xgboost 1 positive	error	positive	xgboost	83	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	3189	10037	xgboost 1 negative	error	negative	xgboost	83	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	0	xgboost 1 positive	error	positive	xgboost	84	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	3107	10037	xgboost 1 negative	error	negative	xgboost	84	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	0	xgboost 1 positive	error	positive	xgboost	85	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	3025	10037	xgboost 1 negative	error	negative	xgboost	85	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	0	xgboost 1 positive	error	positive	xgboost	86	xgboost	1
